Unnamed: 0,Severity,Severity2,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Distance(mi),Lasting_time,Start_Lat,Start_Lng
601532,2,0,55.9,93.0,29.92,10.0,0.0,1747,40.300488,-122.65676100000002
603254,2,0,48.9,97.0,30.07,8.0,0.0,1786,40.15493,-122.144875
604689,3,1,37.0,82.0,30.19,10.0,0.0,1765,40.088001,-122.217171
604867,2,0,48.0,93.0,30.11,3.0,0.0,1791,40.074371,-122.100655
605219,2,0,53.1,93.0,30.21,10.0,0.0,1783,40.360268,-122.304878
605238,2,0,54.0,97.0,30.21,10.0,0.0,1791,40.350647,-122.200714
606149,2,0,54.0,97.0,30.1,1.0,0.0,1791,40.139137,-122.129936
608302,3,1,64.9,31.0,29.94,10.0,0.0,1786,40.23240300000001,-122.255363
608303,3,1,63.0,31.0,29.94,10.0,0.0,1785,40.357346,-122.283257
609873,2,0,55.0,34.0,30.04,10.0,0.0,1790,40.122169,-122.234734
609925,2,0,73.0,21.0,30.08,10.0,0.0,1793,40.349606,-121.587326
609942,2,0,82.9,13.0,30.05,10.0,0.0,1788,40.14653,-122.256828
609944,2,0,82.9,13.0,30.05,10.0,0.0,1782,39.932022,-122.200409
610993,3,1,48.9,36.0,29.96,10.0,0.0,1782,40.2477,-122.26004
611039,2,0,66.0,25.0,29.97,10.0,0.0,1789,39.940407,-122.046494
611044,2,0,66.0,25.0,29.97,10.0,0.0,1791,40.027958,-122.099861
612060,3,1,69.1,26.0,30.15,10.0,0.0,1782,40.253738,-122.262283
612398,3,1,59.0,35.0,30.23,10.0,0.0,3572,39.902954,-122.20001200000002
612399,2,0,59.0,35.0,30.23,10.0,0.0,3583,40.015202,-122.399193
613279,3,1,55.9,37.0,30.13,10.0,0.0,1776,40.099094,-122.217735
613642,2,0,73.0,19.0,30.03,10.0,0.0,1777,40.104218,-122.186356
614660,3,1,45.0,82.0,30.2,10.0,0.0,3564,39.87847100000001,-122.199959
615121,2,0,66.2,52.0,30.26,10.0,0.0,1772,40.062588,-121.605858
615173,2,0,91.9,21.0,30.22,10.0,0.0,1760,40.08149,-122.171051
617259,3,1,55.0,67.0,29.77,10.0,0.0,1785,39.910038,-122.200333
619133,2,0,71.1,75.0,29.9,10.0,0.0,1790,40.028042,-122.101578
620948,3,1,98.1,20.0,29.93,10.0,0.0,1785,40.157848,-122.22377
621925,3,1,80.1,54.0,29.79,10.0,0.0,1793,40.189709,-122.23259
623341,3,1,68.0,52.0,29.85,10.0,1.149999976158142,1781,40.206051,-122.245598
623828,2,0,73.9,29.0,30.0,10.0,0.0,1792,40.033409000000006,-122.099892
623829,2,0,73.9,29.0,30.0,10.0,0.0,2688,40.034264,-122.17128
623833,2,0,75.9,27.0,29.99,10.0,0.0,1773,40.026062,-122.171768
623836,2,0,75.9,27.0,29.99,10.0,0.0,1777,40.01086,-122.17181399999998
624956,2,0,53.1,59.0,29.93,10.0,0.0,1789,40.161087,-122.256569
625014,3,1,75.0,21.0,29.88,10.0,0.0,1761,40.278,-122.272453
626960,3,1,57.9,53.0,29.93,10.0,0.0,1778,40.330479,-122.28116599999998
627476,2,0,62.1,48.0,29.95,10.0,0.0,1787,40.11071,-122.113281
627821,3,1,89.1,26.0,29.94,10.0,0.0,1792,40.206074,-122.245613
628349,3,1,105.1,20.0,29.79,10.0,0.0,1779,40.003487,-122.206535
631138,3,1,86.0,40.0,29.9,10.0,0.0,1747,40.181358,-122.225548
634014,2,0,75.9,58.0,29.92,10.0,0.0,1791,40.368996,-122.282463
634307,3,1,70.0,76.0,29.98,10.0,0.0,1792,40.003487,-122.206535
634675,2,0,73.0,64.0,29.93,10.0,0.0,1783,40.171227,-122.123871
635012,2,0,73.0,61.0,29.81,10.0,0.0,1787,40.000767,-122.298592
636107,2,0,69.1,44.0,29.84,10.0,0.0,1760,40.005455,-122.171974
671773,2,0,71.1,49.0,29.96,10.0,0.263,21600,40.17737,-122.22228
671949,3,1,90.0,25.0,29.93,10.0,0.085,21600,40.34605300000001,-121.688481
671950,3,1,90.0,25.0,29.93,10.0,0.085,21600,40.34673,-121.68713
672027,2,0,104.0,11.0,29.82,10.0,0.322,21600,40.37229,-122.284557
674100,2,0,72.0,53.0,29.85,10.0,0.003,21600,40.376806,-122.284611
675261,4,1,62.1,39.0,30.19,10.0,1.1840000000000002,21600,40.345369,-121.733905
678374,4,1,51.1,92.0,29.3,2.0,0.284,21600,40.34738,-121.59728
678376,4,1,51.1,92.0,29.3,2.0,0.284,21600,40.345712,-121.602215
678400,2,0,51.1,92.0,29.29,2.5,0.284,21600,40.345712,-121.602215
692749,2,0,70.0,65.0,29.84,10.0,0.266,21600,39.93197,-122.2004
692842,2,0,80.1,58.0,29.82,10.0,0.093,21600,40.16249000000001,-122.22288
693906,2,0,79.0,52.0,29.84,10.0,0.201,21600,40.28875,-122.27839
1673788,3,1,43.0,86.0,30.0,2.5,0.782,1772,40.23291,-122.25509
1674045,2,0,41.0,82.0,29.9,10.0,1.96,1794,40.359273,-122.28368
1683582,3,1,50.0,100.0,30.27,2.5,0.442,1790,40.37106,-122.28454
1688988,3,1,78.1,24.0,29.87,10.0,0.38,1796,39.946772,-122.179181
1690315,3,1,93.9,21.0,29.83,10.0,0.324,1791,40.029951,-122.099899
1723977,2,0,71.1,47.0,29.83,10.0,0.078,21600,40.238644,-122.257365
1724803,4,1,72.0,57.0,29.96,10.0,0.0,21600,40.155031,-122.14495
1724804,4,1,72.0,57.0,29.96,10.0,0.0,21600,40.155031,-122.14495
1730386,3,1,79.0,32.0,29.53,10.0,1.524,1665,40.043332,-122.100182
